display_name,authoritative_node,topic_service_action,message_type,fields,frame,qos_or_rate,already_exists,derivation_needed,proposed_method,notes
Robot Footprint,Nav2 costmap,/local_costmap/published_footprint,geometry_msgs/msg/PolygonStamped,polygon,odom_chassis,volatile costmap publisher,YES,NO,RViz Polygon,configured footprint is shared contract
Global Costmap,global_costmap,/global_costmap/costmap,nav_msgs/msg/OccupancyGrid,data/info,map,1 Hz configured,YES,NO,RViz optional,static map plus inflation
Local Costmap,local_costmap,/local_costmap/costmap,nav_msgs/msg/OccupancyGrid,data/info,odom_chassis,5 Hz configured,YES,NO,RViz default,qualified dual-source local costmap
Detected Obstacles,local_costmap,/local_costmap/costmap,nav_msgs/msg/OccupancyGrid,cost values,odom_chassis,5 Hz configured,YES,NO,RViz costmap,obstacle visualization is costmap observation
Raw MID-360,FAST-LIO,/cloud_registered_body,sensor_msgs/msg/PointCloud2,points,body,source sensor rate,YES,NO,RViz debug cloud,not operator default
Raw T-mini,T-mini driver,/scan,sensor_msgs/msg/LaserScan,ranges,laser_frame,source sensor rate,YES,NO,RViz debug scan,not operator default
Global Plan,planner_server,/plan,nav_msgs/msg/Path,poses, map,planner action/lifecycle publication,YES,NO,RViz Path,valid plan publication is transient in operation
Selected MPPI Trajectory,nav2_mppi_controller, /trajectories,visualization_msgs/msg/MarkerArray,namespace Optimal Trajectory,odom_chassis when configured,only when FollowPath.visualize=true,YES_WITH_CONFIG,NO,RViz MarkerArray namespace filter,built-in visualizer also includes candidates
MPPI Local Reference,nav2_mppi_controller,/transformed_global_plan,nav_msgs/msg/Path,poses,odom_chassis,only when visualize=true,YES_WITH_CONFIG,NO,RViz Path,transformed plan not selected trajectory
Nearest Point,observation-only helper,/plan + TF,geometry_msgs/msg/PointStamped,point,map,helper-defined,NO,YES,RViz Marker,nearest path point; no motion authority
Aim Point,UNRESOLVED,NOT EXPOSED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NO,YES,do not display as authoritative,requires definition selection
Current Metric Goal,Mission Manager,/mission/state + /mission/route,MissionState + RouteMission,poses[current_waypoint_index],map,transient-local,NO,YES,RViz Marker + GUI text,distinct from node goal
CM Stop Zone,stock nav2_collision_monitor,/collision_monitor/phase5_stop,geometry_msgs/msg/PolygonStamped,polygon,base_footprint,visualize configured,YES,NO,RViz debug Polygon,geometry only
CM Slow Zone,stock nav2_collision_monitor,/collision_monitor/phase5_slow,geometry_msgs/msg/PolygonStamped,polygon,base_footprint,visualize configured,YES,NO,RViz debug Polygon,geometry only
