finding_id	classification	file	line	literal_path	package_component	function_node_or_launch_arg	execution_condition	default_enabled	authoritative	parameter_override_exists	target_exists	effect_when_missing	recommended_replacement	phase1_closure_group
HCP-014	REPLAY_OR_TEST_ONLY	prepare_offline_nav.sh	10	/home/dog/catkin_byd_1/wheeltec/rtabmap_nav2_stack	root script	PROJECT_DIR	Manual offline helper	No	Yes	No	Yes	Script targets obsolete external workspace	PROJECT_ROOT_RELATIVE_RESOLUTION or REMOVE_OBSOLETE_PATH	DEFER_OPTIONAL_OR_LATER_FEATURE
HCP-015	REPLAY_OR_TEST_ONLY	run_offline_nav.sh	26	/home/dog/catkin_byd_1/wheeltec/rtabmap_nav2_stack	root script	PROJECT_DIR	Manual offline helper	No	Yes	Partial via OFFLINE_NAV_DB_PATH only	Yes	Script targets obsolete external workspace	PROJECT_ROOT_RELATIVE_RESOLUTION or REMOVE_OBSOLETE_PATH	DEFER_OPTIONAL_OR_LATER_FEATURE
HCP-016	REPLAY_OR_TEST_ONLY	scripts/replay_underground.sh	9	/home/dog/catkin_byd_1/wheeltec/rtabmap_nav2_stack/log/task_underground_replay	scripts	LOG_DIR	Manual underground replay	No	Yes	No	Parent workspace exists	Logs written to obsolete workspace	COMMAND_LINE_ARGUMENT	DEFER_OPTIONAL_OR_LATER_FEATURE
HCP-017	REPLAY_OR_TEST_ONLY	scripts/replay_underground.sh	31	/home/dog/catkin_byd_1/wheeltec/rtabmap_nav2_stack/install/setup.bash	scripts	source workspace setup	Manual underground replay	No	Yes	No	Not checked	Replay script depends on obsolete external install	ENVIRONMENT_VARIABLE	DEFER_OPTIONAL_OR_LATER_FEATURE
HCP-018	REPLAY_OR_TEST_ONLY	scripts/replay_underground.sh	45	/home/dog/catkin_byd_1/wheeltec/datasets/lidar_imu_underGround	scripts	BAG_PATH	Manual underground replay	No	Yes	No	No	Bag replay cannot start on current machine without path	COMMAND_LINE_ARGUMENT	DEFER_OPTIONAL_OR_LATER_FEATURE
HCP-019	REPLAY_OR_TEST_ONLY	scripts/replay_underground.sh	54	/home/dog/catkin_byd_1/wheeltec/datasets/lidar_imu_underGround/rtabmap_db	scripts	DB_DIR	Manual underground replay	No	Yes	No	No	Database output path points to absent dataset tree	COMMAND_LINE_ARGUMENT	DEFER_OPTIONAL_OR_LATER_FEATURE
HCP-020	REPLAY_OR_TEST_ONLY	scripts/run_underground_replay.sh	8	/home/dog/catkin_byd_1/wheeltec/rtabmap_nav2_stack/log/task_underground_replay	scripts	LOG_DIR	Manual underground replay	No	Yes	No	Parent workspace exists	Logs written to obsolete workspace	COMMAND_LINE_ARGUMENT	DEFER_OPTIONAL_OR_LATER_FEATURE
HCP-021	REPLAY_OR_TEST_ONLY	scripts/run_underground_replay.sh	18	/home/dog/catkin_byd_1/wheeltec/rtabmap_nav2_stack/install/setup.bash	scripts	source workspace setup	Manual underground replay	No	Yes	No	Not checked	Replay script depends on obsolete external install	ENVIRONMENT_VARIABLE	DEFER_OPTIONAL_OR_LATER_FEATURE
HCP-022	REPLAY_OR_TEST_ONLY	scripts/run_underground_replay.sh	21	/home/dog/catkin_byd_1/wheeltec/datasets/lidar_imu_underGround	scripts	BAG_DIR	Manual underground replay	No	Yes	No	No	Bag replay cannot start on current machine without path	COMMAND_LINE_ARGUMENT	DEFER_OPTIONAL_OR_LATER_FEATURE
HCP-023	ACTIVE_RUNTIME_BLOCKER	src/robot_bringup/launch/bringup.launch.py	315	/home/dog/.local/lib/python3.10/site-packages/torch/lib	robot_bringup	LD_LIBRARY_PATH SetEnvironmentVariable	Parsed when launch file generated and COLCON_PREFIX_PATH is set; independent of sensor_profile	Yes under sourced colcon environment	Yes	No	Yes	Adds user-specific Torch lib path into runtime linker path	REMOVE_OBSOLETE_PATH	MUST_FIX_FOR_PHASE1_CLOSURE
HCP-024	ACTIVE_RUNTIME_BLOCKER	src/robot_bringup/launch/bringup_2d.launch.py	541	/home/dog/.local/lib/python3.10/site-packages/torch/lib	robot_bringup	LD_LIBRARY_PATH SetEnvironmentVariable	Parsed when launch file generated and COLCON_PREFIX_PATH is set; default sensor_profile lidar_stereo also passes SuperPoint/PyMatcher args	Yes under sourced colcon environment	Yes	No	Yes	Adds user-specific Torch lib path; stable profile has Torch/Python disabled	REMOVE_OBSOLETE_PATH or ENVIRONMENT_VARIABLE	MUST_FIX_FOR_PHASE1_CLOSURE
HCP-025	ACTIVE_RUNTIME_BLOCKER	src/robot_bringup/launch/bringup_2d_infra.launch.py	606	/home/dog/.local/lib/python3.10/site-packages/torch/lib	robot_bringup	LD_LIBRARY_PATH SetEnvironmentVariable	Parsed when launch file generated and COLCON_PREFIX_PATH is set	Yes under sourced colcon environment	Yes	No	Yes	User-specific Torch runtime path in active launch	REMOVE_OBSOLETE_PATH or ENVIRONMENT_VARIABLE	MUST_FIX_FOR_PHASE1_CLOSURE
HCP-026	ACTIVE_RUNTIME_BLOCKER	src/robot_bringup/launch/fastlio_mapping_infra_2d.launch.py	347	/home/dog/.local/lib/python3.10/site-packages/torch/lib	robot_bringup	LD_LIBRARY_PATH SetEnvironmentVariable	Parsed when launch file generated and COLCON_PREFIX_PATH is set	Yes under sourced colcon environment	Yes	No	Yes	User-specific Torch runtime path in camera mapping launch	REMOVE_OBSOLETE_PATH or ENVIRONMENT_VARIABLE	MUST_FIX_FOR_PHASE1_CLOSURE
HCP-027	ACTIVE_RUNTIME_BLOCKER	src/robot_bringup/launch/rtabmap_bridge.launch.py	115	/home/dog/.local/lib/python3.10/site-packages/torch/lib	robot_bringup	LD_LIBRARY_PATH SetEnvironmentVariable	Direct bridge or included by bringup files when COLCON_PREFIX_PATH is set	Yes under sourced colcon environment	Yes	No	Yes	User-specific Torch path affects RTAB-Map launch environment	REMOVE_OBSOLETE_PATH or ENVIRONMENT_VARIABLE	MUST_FIX_FOR_PHASE1_CLOSURE
HCP-028	ACTIVE_RUNTIME_BLOCKER	src/robot_bringup/launch/fastlio_mapping.launch.py	157	/home/dog/.local/lib/python3.10/site-packages/torch/lib	robot_bringup	LD_LIBRARY_PATH SetEnvironmentVariable	Parsed when launch file generated and COLCON_PREFIX_PATH is set	Yes under sourced colcon environment	Yes	No	Yes	User-specific Torch path in mapping launch	REMOVE_OBSOLETE_PATH or ENVIRONMENT_VARIABLE	MUST_FIX_FOR_PHASE1_CLOSURE
HCP-029	ACTIVE_RUNTIME_BLOCKER	src/robot_bringup/launch/fast_lio2.launch.py	248	/home/dog/.local/lib/python3.10/site-packages/torch/lib	robot_bringup	LD_LIBRARY_PATH SetEnvironmentVariable	Parsed when launch file generated and COLCON_PREFIX_PATH is set	Yes under sourced colcon environment	Yes	No	Yes	User-specific Torch path in FAST-LIO/RTAB-Map launch	REMOVE_OBSOLETE_PATH or ENVIRONMENT_VARIABLE	MUST_FIX_FOR_PHASE1_CLOSURE
HCP-030	OPTIONAL_FEATURE_BLOCKER	src/robot_bringup/launch/bringup_2d.launch.py	84	./superpoint_superglue/SuperPointPretrainedNetwork/superpoint_v1.pt	robot_bringup	rtabmap_args SuperPoint/ModelPath	Default rtabmap_args in bringup_2d; default sensor_profile lidar_stereo	Yes for bringup_2d default	Yes	Yes; rtabmap_args launch arg	Directory excluded from Git; target not in workspace	Stable RTAB-Map build WITH_TORCH=OFF/WITH_PYTHON=OFF; startup may fail or ignore depending RTAB-Map parameter handling, already unsupported camera default	DEFER_OPTIONAL_FEATURE	MUST_FIX_FOR_PHASE1_CLOSURE
HCP-031	OPTIONAL_FEATURE_BLOCKER	src/robot_bringup/launch/bringup_2d.launch.py	89	./superpoint_superglue/SuperGluePretrainedNetwork/rtabmap_superglue.py	robot_bringup	rtabmap_args PyMatcher/Path	Default rtabmap_args in bringup_2d; default sensor_profile lidar_stereo	Yes for bringup_2d default	Yes	Yes; rtabmap_args launch arg	Directory excluded from Git; target not in workspace	Stable build WITH_PYTHON=OFF; default passes unavailable matcher path	DEFER_OPTIONAL_FEATURE	MUST_FIX_FOR_PHASE1_CLOSURE
HCP-032	OPTIONAL_FEATURE_BLOCKER	src/robot_bringup/launch/bringup_2d_infra.launch.py	87	./superpoint_superglue/SuperPointPretrainedNetwork/superpoint_v1.pt	robot_bringup	rtabmap_args SuperPoint/ModelPath	Camera/infra launch default	Yes for launch default	Yes	Yes; rtabmap_args launch arg	Directory excluded from Git; target not in workspace	Unsupported camera default path	DEFER_OPTIONAL_FEATURE	MUST_FIX_FOR_PHASE1_CLOSURE
HCP-033	OPTIONAL_FEATURE_BLOCKER	src/robot_bringup/launch/bringup_2d_infra.launch.py	93	./superpoint_superglue/SuperGluePretrainedNetwork/rtabmap_superglue.py	robot_bringup	rtabmap_args PyMatcher/Path	Camera/infra launch default	Yes for launch default	Yes	Yes; rtabmap_args launch arg	Directory excluded from Git; target not in workspace	Unsupported camera default path	DEFER_OPTIONAL_FEATURE	MUST_FIX_FOR_PHASE1_CLOSURE
HCP-034	OPTIONAL_FEATURE_BLOCKER	src/robot_bringup/launch/fastlio_mapping_infra_2d.launch.py	105	./superpoint_superglue/SuperPointPretrainedNetwork/superpoint_v1.pt	robot_bringup	rtabmap_args SuperPoint/ModelPath	Camera mapping launch default	Yes for launch default	Yes	Yes; rtabmap_args launch arg	Directory excluded from Git; target not in workspace	Unsupported camera default path	DEFER_OPTIONAL_FEATURE	MUST_FIX_FOR_PHASE1_CLOSURE
HCP-035	OPTIONAL_FEATURE_BLOCKER	src/robot_bringup/launch/fastlio_mapping_infra_2d.launch.py	110	./superpoint_superglue/SuperGluePretrainedNetwork/rtabmap_superglue.py	robot_bringup	rtabmap_args PyMatcher/Path	Camera mapping launch default	Yes for launch default	Yes	Yes; rtabmap_args launch arg	Directory excluded from Git; target not in workspace	Unsupported camera default path	DEFER_OPTIONAL_FEATURE	MUST_FIX_FOR_PHASE1_CLOSURE
HCP-036	ACTIVE_BUT_PARAMETER_OVERRIDABLE	src/livox_ros_driver2/src/livox_ros_driver2.cpp	139	/home/livox/livox_test.lvx	livox_ros_driver2	lvx_file_path parameter default	Livox driver node if lvx mode/file playback selected	Conditional	Excluded local source used by workspace	Yes; ROS parameter	No	LVX playback default is machine-specific; live MID360 mode may not use it	ROS_PARAMETER	DEFER_OPTIONAL_OR_LATER_FEATURE
HCP-037	ACTIVE_BUT_PARAMETER_OVERRIDABLE	src/livox_ros_driver2/launch/msg_MID360_launch.py	14	/home/livox/livox_test.lvx	livox_ros_driver2	lvx_file_path launch variable	Livox MID360 launch included when start_livox true	Conditional	Excluded local source used by workspace	Yes via node parameter/launch edit	No	Launch carries missing LVX path though live mode may not open it	ROS_PARAMETER	DEFER_OPTIONAL_OR_LATER_FEATURE
HCP-038	ACTIVE_BUT_PARAMETER_OVERRIDABLE	src/livox_ros_driver2/launch/rviz_MID360_launch.py	14	/home/livox/livox_test.lvx	livox_ros_driver2	lvx_file_path launch variable	Manual Livox RViz launch	No	Excluded local source used by workspace	Yes via parameter/launch edit	No	Manual launch has missing LVX default	ROS_PARAMETER	DEFER_OPTIONAL_OR_LATER_FEATURE
HCP-039	ACTIVE_BUT_PARAMETER_OVERRIDABLE	src/livox_ros_driver2/launch/msg_HAP_launch.py	14	/home/livox/livox_test.lvx	livox_ros_driver2	lvx_file_path launch variable	HAP launch not normal MID360 startup	No	Excluded local source used by workspace	Yes via parameter/launch edit	No	HAP playback default missing	ROS_PARAMETER	NO_CHANGE_REQUIRED
HCP-040	ACTIVE_BUT_PARAMETER_OVERRIDABLE	src/livox_ros_driver2/launch/rviz_HAP_launch.py	14	/home/livox/livox_test.lvx	livox_ros_driver2	lvx_file_path launch variable	HAP RViz launch	No	Excluded local source used by workspace	Yes via parameter/launch edit	No	HAP playback default missing	ROS_PARAMETER	NO_CHANGE_REQUIRED
HCP-041	ACTIVE_BUT_PARAMETER_OVERRIDABLE	src/livox_ros_driver2/launch/rviz_mixed.py	14	/home/livox/livox_test.lvx	livox_ros_driver2	lvx_file_path launch variable	Mixed Livox launch	No	Excluded local source used by workspace	Yes via parameter/launch edit	No	Mixed playback default missing	ROS_PARAMETER	NO_CHANGE_REQUIRED
HCP-042	SYSTEM_PATH_INTENTIONAL	src/ydlidar_ros2_driver/src/ydlidar_ros2_driver_node.cpp	43	/dev/ydlidar	ydlidar_ros2_driver	default local variable before parameter declaration	YDLIDAR driver node; overwritten by declared parameter default if not configured	Conditional hardware launch	Excluded local source used by workspace	Yes; port parameter	No	Hardware path is platform interface; should stay configurable	ROS_PARAMETER	NO_CHANGE_REQUIRED
HCP-043	ACTIVE_BUT_PARAMETER_OVERRIDABLE	src/ydlidar_ros2_driver/src/ydlidar_ros2_driver_node.cpp	44	/dev/ttyUSB0	ydlidar_ros2_driver	port parameter default	YDLIDAR driver when start_ydlidar true or 2D launch uses driver	Conditional hardware launch	Excluded local source used by workspace	Yes; port parameter and params YAML	No	Default serial device may differ across Jetsons	ROBOT_PROFILE_PATH	DEFER_OPTIONAL_OR_LATER_FEATURE
HCP-044	ACTIVE_BUT_PARAMETER_OVERRIDABLE	src/ydlidar_ros2_driver/params/TminiPro.yaml	3	/dev/ttyUSB0	ydlidar_ros2_driver	port YAML	bringup.launch.py default ydlidar_params_file points to TminiPro.yaml; node starts only if start_ydlidar true	Conditional; default start_ydlidar false in bringup.launch.py	Excluded local source used by workspace	Yes; ydlidar_params_file launch arg	No	YDLIDAR startup fails if serial device differs	ROBOT_PROFILE_PATH	DEFER_OPTIONAL_OR_LATER_FEATURE
HCP-045	SYSTEM_PATH_INTENTIONAL	src/YDLidar-SDK/src/CYdLidar.cpp	51	/dev/ydlidar	YDLidar-SDK	CYdLidar constructor default	SDK default; ROS driver supplies parameter	Conditional through SDK	Excluded local source used by workspace	Yes through ROS driver port parameter	No	Intentional Linux device default	SYSTEM_PATH_INTENTIONAL	NO_CHANGE_REQUIRED
HCP-046	BUILD_OR_DEVELOPMENT_ONLY	do_build_all.sh	40	/usr/local/lib/cmake/opencv4	root script	OpenCV_DIR probe	Manual build helper	No	Yes	Partial via OpenCV_DIR env	Yes	Fragile build ABI probe; not runtime	ENVIRONMENT_VARIABLE	NO_CHANGE_REQUIRED
HCP-047	BUILD_OR_DEVELOPMENT_ONLY	scripts/build_rtabmap_0234.sh	20	/usr/local/lib/cmake/opencv4	scripts	OpenCV_DIR probe	Manual RTAB-Map build script	No	Yes	Yes; OpenCV_DIR env	Yes	Build-only fallback can select wrong ABI if used	ENVIRONMENT_VARIABLE	NO_CHANGE_REQUIRED
HCP-048	BUILD_OR_DEVELOPMENT_ONLY	scripts/build_rtabmap_0234.sh	81	/home/dog/.local/lib/python3.10/site-packages/torch	scripts	Torch root probe	Manual RTAB-Map build script	No	Yes	Yes; detection/fallback	Yes	Build-only Torch detection, stable Phase 1 uses no Torch	DEFER_OPTIONAL_FEATURE	NO_CHANGE_REQUIRED
HCP-049	BUILD_OR_DEVELOPMENT_ONLY	scripts/use_rtabmap_0234_env.sh	27	/home/dog/.local/lib/python3.10/site-packages/torch/lib	scripts	Torch lib probe	Manual environment helper	No	Yes	Yes; RTABMAP_TORCH_LIB_DIR	Yes	Build/dev shell helper only	ENVIRONMENT_VARIABLE	NO_CHANGE_REQUIRED
HCP-050	BUILD_OR_DEVELOPMENT_ONLY	src/livox_ros_driver2/CMakeLists.txt	63	/usr/local/lib	livox_ros_driver2	find_library path	Build configure only	No	Excluded local source used by workspace	No	Yes	Assumes Livox SDK installed under /usr/local; build-only	ENVIRONMENT_VARIABLE	NO_CHANGE_REQUIRED
HCP-051	BUILD_OR_DEVELOPMENT_ONLY	src/rtabmap_ros/rtabmap_slam/CMakeLists.txt	17	/opt/ros/$ENV{ROS_DISTRO}/lib	rtabmap_ros	CMake find paths	Build configure only	No	Imported source	No	Yes	ROS install lookup; not runtime path blocker	SYSTEM_PATH_INTENTIONAL	NO_CHANGE_REQUIRED
HCP-052	SYSTEM_PATH_INTENTIONAL	plan_nav/core/nav_publisher.py	29	/opt/ros	plan_nav	_source_ros2 ROS distro probe	Only when operation mode starts PlanPublisher	Conditional operation mode	Yes	No	Yes	Assumes standard ROS install prefix; fails gracefully if absent	SYSTEM_PATH_INTENTIONAL	NO_CHANGE_REQUIRED
HCP-053	SYSTEM_PATH_INTENTIONAL	plan_nav/core/pose_receiver.py	14	/opt/ros	plan_nav	_find_ros2_setup ROS distro probe	Only when operation mode checks/starts pose receiver	Conditional operation mode	Yes	No	Yes	Assumes standard ROS install prefix; reports UI error if absent	SYSTEM_PATH_INTENTIONAL	NO_CHANGE_REQUIRED
HCP-054	BUILD_OR_DEVELOPMENT_ONLY	plan_nav/run.sh	6	$HOME/venvs/underground_map_editor	plan_nav	launcher venv dir	Manual GUI helper	No	Yes	No	Depends on user HOME	User-local virtualenv path derived from HOME, not hard-coded /home/dog	ENVIRONMENT_VARIABLE	NO_CHANGE_REQUIRED
HCP-055	BACKUP_OR_HISTORICAL	plan_nav/.claude/settings.local.json	29	C:\\Anaconda3\\python.exe and F:\\datasets\\db\\2d	plan_nav	local Claude settings	Not referenced by startup	No	No for runtime authority	No	No on Jetson	Local developer tool settings only	REMOVE_OBSOLETE_PATH	NO_CHANGE_REQUIRED
HCP-056	BACKUP_OR_HISTORICAL	plan_nav07202900/**	various	/opt/ros and F:\\datasets\\db\\...	plan_nav backup	backup copy	No current startup references backup	No	No	No	Mixed	Backup duplicate/historical only; do not edit for active authority	DOCUMENT_ONLY_NO_CHANGE	NO_CHANGE_REQUIRED
HCP-057	GENERATED_OR_INSTALLED_COPY	src/YDLidar-SDK/build/**	various	/home/dog/fastlio_rtabmap_ros2_ws and /usr/local	YDLidar-SDK generated build tree	generated CMake/build/install files	Not authoritative source	No	No	No	N/A	Generated build artifacts include absolute paths; exclude from source remediation	REMOVE_OBSOLETE_PATH	NO_CHANGE_REQUIRED
HCP-058	DOCUMENTATION_ONLY	docs/** and root *.md	various	/home/dog, /home/dog/phase1_builds, /usr/local, /opt/ros	workspace documentation	evidence/reference docs	Documentation only	No	Yes docs	No	N/A	Documents machine evidence; not runtime	DOCUMENT_ONLY_NO_CHANGE	NO_CHANGE_REQUIRED
HCP-059	FALSE_POSITIVE	plan_nav/**/*.jpg, plan_nav/**/*.png, plan_nav/**/*.pt, scripts/**/*.pcd	various	C:\\-like byte sequences	binary assets	binary payload	Not source text	No	Yes assets	No	N/A	Binary bytes matched path regex accidentally; no source path	DOCUMENT_ONLY_NO_CHANGE	NO_CHANGE_REQUIRED
