finding_id	original_classification	file	line	literal_path	phase1_closure_group	post_remediation_status	post_remediation_note
HCP-032	OPTIONAL_FEATURE_BLOCKER	src/robot_bringup/launch/bringup_2d_infra.launch.py	87	./superpoint_superglue/SuperPointPretrainedNetwork/superpoint_v1.pt	MUST_FIX_FOR_PHASE1_CLOSURE	RESOLVED	Minimum Phase 1 runtime-path remediation implemented; active absolute/default path removed or unsafe default disabled while preserving explicit overrides.
HCP-033	OPTIONAL_FEATURE_BLOCKER	src/robot_bringup/launch/bringup_2d_infra.launch.py	93	./superpoint_superglue/SuperGluePretrainedNetwork/rtabmap_superglue.py	MUST_FIX_FOR_PHASE1_CLOSURE	RESOLVED	Minimum Phase 1 runtime-path remediation implemented; active absolute/default path removed or unsafe default disabled while preserving explicit overrides.
HCP-034	OPTIONAL_FEATURE_BLOCKER	src/robot_bringup/launch/fastlio_mapping_infra_2d.launch.py	105	./superpoint_superglue/SuperPointPretrainedNetwork/superpoint_v1.pt	MUST_FIX_FOR_PHASE1_CLOSURE	RESOLVED	Minimum Phase 1 runtime-path remediation implemented; active absolute/default path removed or unsafe default disabled while preserving explicit overrides.
HCP-035	OPTIONAL_FEATURE_BLOCKER	src/robot_bringup/launch/fastlio_mapping_infra_2d.launch.py	110	./superpoint_superglue/SuperGluePretrainedNetwork/rtabmap_superglue.py	MUST_FIX_FOR_PHASE1_CLOSURE	RESOLVED	Minimum Phase 1 runtime-path remediation implemented; active absolute/default path removed or unsafe default disabled while preserving explicit overrides.
HCP-036	ACTIVE_BUT_PARAMETER_OVERRIDABLE	src/livox_ros_driver2/src/livox_ros_driver2.cpp	139	/home/livox/livox_test.lvx	DEFER_OPTIONAL_OR_LATER_FEATURE	DEFERRED_AS_APPROVED	Deferred by approved audit/remediation plan; not part of minimum Phase 1 closure edit set.
HCP-037	ACTIVE_BUT_PARAMETER_OVERRIDABLE	src/livox_ros_driver2/launch/msg_MID360_launch.py	14	/home/livox/livox_test.lvx	DEFER_OPTIONAL_OR_LATER_FEATURE	DEFERRED_AS_APPROVED	Deferred by approved audit/remediation plan; not part of minimum Phase 1 closure edit set.
HCP-038	ACTIVE_BUT_PARAMETER_OVERRIDABLE	src/livox_ros_driver2/launch/rviz_MID360_launch.py	14	/home/livox/livox_test.lvx	DEFER_OPTIONAL_OR_LATER_FEATURE	DEFERRED_AS_APPROVED	Deferred by approved audit/remediation plan; not part of minimum Phase 1 closure edit set.
HCP-039	ACTIVE_BUT_PARAMETER_OVERRIDABLE	src/livox_ros_driver2/launch/msg_HAP_launch.py	14	/home/livox/livox_test.lvx	NO_CHANGE_REQUIRED	NO_CHANGE_REQUIRED	No runtime remediation required by approved audit classification.
HCP-040	ACTIVE_BUT_PARAMETER_OVERRIDABLE	src/livox_ros_driver2/launch/rviz_HAP_launch.py	14	/home/livox/livox_test.lvx	NO_CHANGE_REQUIRED	NO_CHANGE_REQUIRED	No runtime remediation required by approved audit classification.
HCP-041	ACTIVE_BUT_PARAMETER_OVERRIDABLE	src/livox_ros_driver2/launch/rviz_mixed.py	14	/home/livox/livox_test.lvx	NO_CHANGE_REQUIRED	NO_CHANGE_REQUIRED	No runtime remediation required by approved audit classification.
HCP-042	SYSTEM_PATH_INTENTIONAL	src/ydlidar_ros2_driver/src/ydlidar_ros2_driver_node.cpp	43	/dev/ydlidar	NO_CHANGE_REQUIRED	NO_CHANGE_REQUIRED	No runtime remediation required by approved audit classification.
HCP-043	ACTIVE_BUT_PARAMETER_OVERRIDABLE	src/ydlidar_ros2_driver/src/ydlidar_ros2_driver_node.cpp	44	/dev/ttyUSB0	DEFER_OPTIONAL_OR_LATER_FEATURE	DEFERRED_AS_APPROVED	Deferred by approved audit/remediation plan; not part of minimum Phase 1 closure edit set.
HCP-044	ACTIVE_BUT_PARAMETER_OVERRIDABLE	src/ydlidar_ros2_driver/params/TminiPro.yaml	3	/dev/ttyUSB0	DEFER_OPTIONAL_OR_LATER_FEATURE	DEFERRED_AS_APPROVED	Deferred by approved audit/remediation plan; not part of minimum Phase 1 closure edit set.
HCP-045	SYSTEM_PATH_INTENTIONAL	src/YDLidar-SDK/src/CYdLidar.cpp	51	/dev/ydlidar	NO_CHANGE_REQUIRED	NO_CHANGE_REQUIRED	No runtime remediation required by approved audit classification.
HCP-046	BUILD_OR_DEVELOPMENT_ONLY	do_build_all.sh	40	/usr/local/lib/cmake/opencv4	NO_CHANGE_REQUIRED	NO_CHANGE_REQUIRED	No runtime remediation required by approved audit classification.
HCP-047	BUILD_OR_DEVELOPMENT_ONLY	scripts/build_rtabmap_0234.sh	20	/usr/local/lib/cmake/opencv4	NO_CHANGE_REQUIRED	NO_CHANGE_REQUIRED	No runtime remediation required by approved audit classification.
HCP-048	BUILD_OR_DEVELOPMENT_ONLY	scripts/build_rtabmap_0234.sh	81	/home/dog/.local/lib/python3.10/site-packages/torch	NO_CHANGE_REQUIRED	NO_CHANGE_REQUIRED	No runtime remediation required by approved audit classification.
HCP-049	BUILD_OR_DEVELOPMENT_ONLY	scripts/use_rtabmap_0234_env.sh	27	/home/dog/.local/lib/python3.10/site-packages/torch/lib	NO_CHANGE_REQUIRED	NO_CHANGE_REQUIRED	No runtime remediation required by approved audit classification.
HCP-050	BUILD_OR_DEVELOPMENT_ONLY	src/livox_ros_driver2/CMakeLists.txt	63	/usr/local/lib	NO_CHANGE_REQUIRED	NO_CHANGE_REQUIRED	No runtime remediation required by approved audit classification.
HCP-051	BUILD_OR_DEVELOPMENT_ONLY	src/rtabmap_ros/rtabmap_slam/CMakeLists.txt	17	/opt/ros/$ENV{ROS_DISTRO}/lib	NO_CHANGE_REQUIRED	NO_CHANGE_REQUIRED	No runtime remediation required by approved audit classification.
HCP-052	SYSTEM_PATH_INTENTIONAL	plan_nav/core/nav_publisher.py	29	/opt/ros	NO_CHANGE_REQUIRED	NO_CHANGE_REQUIRED	No runtime remediation required by approved audit classification.
HCP-053	SYSTEM_PATH_INTENTIONAL	plan_nav/core/pose_receiver.py	14	/opt/ros	NO_CHANGE_REQUIRED	NO_CHANGE_REQUIRED	No runtime remediation required by approved audit classification.
HCP-054	BUILD_OR_DEVELOPMENT_ONLY	plan_nav/run.sh	6	$HOME/venvs/underground_map_editor	NO_CHANGE_REQUIRED	NO_CHANGE_REQUIRED	No runtime remediation required by approved audit classification.
HCP-055	BACKUP_OR_HISTORICAL	plan_nav/.claude/settings.local.json	29	C:\\Anaconda3\\python.exe and F:\\datasets\\db\\2d	NO_CHANGE_REQUIRED	NO_CHANGE_REQUIRED	No runtime remediation required by approved audit classification.
HCP-056	BACKUP_OR_HISTORICAL	plan_nav07202900/**	various	/opt/ros and F:\\datasets\\db\\...	NO_CHANGE_REQUIRED	NO_CHANGE_REQUIRED	No runtime remediation required by approved audit classification.
HCP-057	GENERATED_OR_INSTALLED_COPY	src/YDLidar-SDK/build/**	various	/home/dog/fastlio_rtabmap_ros2_ws and /usr/local	NO_CHANGE_REQUIRED	NO_CHANGE_REQUIRED	No runtime remediation required by approved audit classification.
HCP-058	DOCUMENTATION_ONLY	docs/** and root *.md	various	/home/dog, /home/dog/phase1_builds, /usr/local, /opt/ros	NO_CHANGE_REQUIRED	NO_CHANGE_REQUIRED	No runtime remediation required by approved audit classification.
HCP-059	FALSE_POSITIVE	plan_nav/**/*.jpg, plan_nav/**/*.png, plan_nav/**/*.pt, scripts/**/*.pcd	various	C:\\-like byte sequences	NO_CHANGE_REQUIRED	NO_CHANGE_REQUIRED	No runtime remediation required by approved audit classification.
